genus	date	val	type
mean abundance < 2%	2011-08-05	19.371010708009607	MG
mean abundance < 2%	2011-08-11	19.16406363989304	MG
mean abundance < 2%	2011-08-19	16.930466531302194	MG
mean abundance < 2%	2011-08-29	15.117214688418398	MG
mean abundance < 2%	2011-09-05	16.52737446896305	MG
mean abundance < 2%	2011-09-12	17.087646293600326	MG
mean abundance < 2%	2011-09-19	17.039916145638387	MG
mean abundance < 2%	2011-09-28	19.770064186672016	MG
mean abundance < 2%	2011-10-05	18.22006016339342	MG
mean abundance < 2%	2011-10-12	17.38243523980509	MG
mean abundance < 2%	2011-11-02	11.752731551054934	MG
mean abundance < 2%	2011-11-07	10.207987341177743	MG
mean abundance < 2%	2011-11-16	8.728891781393198	MG
mean abundance < 2%	2011-11-23	7.03524800034636	MG
mean abundance < 2%	2011-11-29	9.788297547459365	MG
mean abundance < 2%	2011-12-21	10.640751281047038	MG
mean abundance < 2%	2011-12-28	9.534708787330704	MG
mean abundance < 2%	2012-01-03	10.53932170385613	MG
mean abundance < 2%	2012-01-11	9.687809470164225	MG
mean abundance < 2%	2012-01-19	8.981885074335038	MG
mean abundance < 2%	2012-01-25	8.196946968908605	MG
mean abundance < 2%	2012-02-01	8.223198252328714	MG
mean abundance < 2%	2012-02-08	8.768600518958303	MG
mean abundance < 2%	2012-02-14	9.794559440653682	MG
mean abundance < 2%	2012-02-23	9.460420302773507	MG
mean abundance < 2%	2012-02-29	8.447457626598961	MG
mean abundance < 2%	2012-03-08	8.15865942108423	MG
mean abundance < 2%	2012-03-14	8.890430889564074	MG
mean abundance < 2%	2012-03-22	8.679941001374548	MG
mean abundance < 2%	2012-03-28	8.960056373708069	MG
mean abundance < 2%	2012-04-04	8.004729385105433	MG
mean abundance < 2%	2012-04-10	8.600370996371508	MG
mean abundance < 2%	2012-04-17	10.124374344521108	MG
mean abundance < 2%	2012-04-25	9.16353269187097	MG
mean abundance < 2%	2012-05-03	8.322352519516484	MG
Xanthomonas	2011-03-21	0.8536576659633563	MG
Xanthomonas	2011-03-29	0.9034780826443061	MG
Xanthomonas	2011-04-05	0.7740397783608979	MG
Xanthomonas	2011-04-14	1.221124665334276	MG
